,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
17,We are back with another #market update today on #TheDairySignal. Tune in live at 12 CT to ask your questions and l… https://t.co/H2SNiotask,we are back with another  market update today on  thedairysignal  tune in live at 12 ct to ask your questions and l   ,0.06818181818181818,0.25,neutral,0.0,1.0,0.0,0.0
18,"Tractor Driver/Stockperson required by @LKLServices in Ripon

See: https://t.co/bQtC63kHfI

#FarmingJobs… https://t.co/WrfSAdjDM5",tractor driver stockperson required by   in ripon  see      farmingjobs   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
19,"Dairy farming is often a family affair, with different generations working together on a farm — making every day… https://t.co/DuUpBCZ7g3",dairy farming is often a family affair  with different generations working together on a farm   making every day   ,0.0,0.6,neutral,0.0,1.0,0.0,0.0
20,@newson6wxguy A late aunt who lived on a dairy farm near Pryor described seeing debris in the air over the town.,  a late aunt who lived on a dairy farm near pryor described seeing debris in the air over the town ,-0.09999999999999999,0.5,neutral,0.0,1.0,0.0,0.0
21,"RT @UchumiKwanza: ""We promise coffee, tea and dairy farmers that we will create a ready market for their produce, reduce the cost of farm i…",  we promise coffee  tea and dairy farmers that we will create a ready market for their produce  reduce the cost of farm i ,0.2,0.5,positive,0.0,0.723,0.277,0.7096
22,"⚡️Up first is Michael Turley, owner and operator of @RollingLawnsIL!

@ILAgriculture Director Jerry Costello and I… https://t.co/RGKnt1T1eq",  up first is michael turley  owner and operator of       director jerry costello and i   ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
23,"RT @VolvoTrucksNA: In a showcase event this week, @ProducersDairy took delivery of two #VNRElectric trucks. The first battery-electric vehi…", in a showcase event this week    took delivery of two  vnrelectric trucks  the first battery electric vehi ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
24,RT @ArFB: More than 550 kindergarten students had the opportunity to learn about #agriculture during the 2022 Fun on the Farm event this we…, more than 550 kindergarten students had the opportunity to learn about  agriculture during the 2022 fun on the farm event this we ,0.4,0.35,positive,0.0,0.766,0.234,0.7269
25,More than 550 kindergarten students had the opportunity to learn about #agriculture during the 2022 Fun on the Farm… https://t.co/nmv3XA7Iji,more than 550 kindergarten students had the opportunity to learn about  agriculture during the 2022 fun on the farm   ,0.4,0.35,positive,0.0,0.736,0.264,0.7269
26,Last call for Resolution voting! All licensed Canadian dairy farmers have the opportunity to submit one vote per da… https://t.co/c16HwYokcU,last call for resolution voting  all licensed canadian dairy farmers have the opportunity to submit one vote per da   ,0.0,0.06666666666666667,positive,0.0,0.865,0.135,0.4215
27,"RT @Itsmytirupati: 🐘❤️

📍SV Dairy Farm 

Credits: @leisure_workss 

#tirupati #tirumala #tirupathi #itsmytirupati #elephant #elephants #ele…",       sv dairy farm   credits    workss    tirupati  tirumala  tirupathi  itsmytirupati  elephant  elephants  ele ,0.0,0.0,positive,0.0,0.815,0.185,0.3612
28,"In a showcase event this week, @ProducersDairy took delivery of two #VNRElectric trucks. The first battery-electric… https://t.co/UDnZKwqO5p",in a showcase event this week    took delivery of two  vnrelectric trucks  the first battery electric   ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
29,Interesting. A new iteration of the Farm-to-table movement? Which we know has now been co-opted by Big Meat:… https://t.co/nDvJlmH2Nj,interesting  a new iteration of the farm to table movement  which we know has now been co opted by big meat    ,0.21212121212121213,0.35151515151515156,positive,0.0,0.876,0.124,0.4019
30,RT @CanarmAgSystems: Territory Manager Nicholas is at the Bloemen Farms Open House today. This farm features Faromor standard curtains with…, territory manager nicholas is at the bloemen farms open house today  this farm features faromor standard curtains with ,0.0,0.25,neutral,0.0,1.0,0.0,0.0
31,Territory Manager Nicholas is at the Bloemen Farms Open House today. This farm features Faromor standard curtains w… https://t.co/UwW3habI5Q,territory manager nicholas is at the bloemen farms open house today  this farm features faromor standard curtains w   ,0.0,0.25,neutral,0.0,1.0,0.0,0.0
32,Producers Dairy announced it will now deliver farm-to-table goods through the integration of two Volvo VNR Electric… https://t.co/VoD9fHnXwW,producers dairy announced it will now deliver farm to table goods through the integration of two volvo vnr electric   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
33,"A great time was had at today's Women in Dairy Spring Meeting, hosted by Synergy Client and 2021 Dairy Industry Wom… https://t.co/SGJ8nVbQEp",a great time was had at today s women in dairy spring meeting  hosted by synergy client and 2021 dairy industry wom   ,0.8,0.75,positive,0.0,0.823,0.177,0.6249
34,"RT @enockk256: Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2. The level…", factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2  the level ,0.0,0.0,positive,0.0,0.888,0.112,0.34
35,"@harrisonjaime Yes, my family can say this one!!! My Dad was a dairy farmer, paid for his farm by working hard from… https://t.co/AlCdpccl4B",  yes  my family can say this one    my dad was a dairy farmer  paid for his farm by working hard from   ,-0.2916666666666667,0.5416666666666666,positive,0.063,0.814,0.122,0.3182
36,"Experience lounging with a difference in our brand-new 1903 Lounge in @manairport T2 🥂

Freshly cooked by our in-ho… https://t.co/lurQZjZp7m",experience lounging with a difference in our brand new 1903 lounge in   t2    freshly cooked by our in ho   ,0.21818181818181817,0.4772727272727273,neutral,0.0,1.0,0.0,0.0
37,"RT @animal_equality: BREAKING: Our latest undercover investigation, being shown on #BBCPanorama tonight, uncovered extreme violence and neg…", breaking  our latest undercover investigation  being shown on  bbcpanorama tonight  uncovered extreme violence and neg ,0.1875,0.95,negative,0.227,0.773,0.0,-0.6249
38,"The new Lake Mills Farmers &amp; Artisan Market manager may be a bit of a new face for some people, but her last name i… https://t.co/XZD2UrZzLT",the new lake mills farmers  amp  artisan market manager may be a bit of a new face for some people  but her last name i   ,0.0909090909090909,0.32525252525252524,neutral,0.0,1.0,0.0,0.0
39,"The new Lake Mills Farmers &amp; Artisan Market manager may be a bit of a new face for some people, but her last name i… https://t.co/3aMzhnXYHB",the new lake mills farmers  amp  artisan market manager may be a bit of a new face for some people  but her last name i   ,0.0909090909090909,0.32525252525252524,neutral,0.0,1.0,0.0,0.0
40,RT @Doreen_andersx: Managing lameness - topic for station 2 today ⁦@SRUC⁩ Crichton Farm Dairy Roadshow with ⁦@SaraPedersen3⁩ and Colin Maso…, managing lameness   topic for station 2 today     crichton farm dairy roadshow with     and colin maso ,0.0,0.0,negative,0.122,0.878,0.0,-0.2023
41,@NurseCanadian @PhilipMPowell @jannarden Hey sweetie cakes like I said if those were your practices you should be a… https://t.co/V7jhNB7V3w,      hey sweetie cakes like i said if those were your practices you should be a   ,0.0,0.0,positive,0.0,0.659,0.341,0.6908
42,"Currently, the farm is run by 10 employees and receives camel milk from eight recommended suppliers.
 
Learn more a… https://t.co/DHcm2oB5VO",currently  the farm is run by 10 employees and receives camel milk from eight recommended suppliers    learn more a   ,0.25,0.45,positive,0.0,0.904,0.096,0.2023
43,"RT @beardropsmy: The mysterious disappearance of cows in Desa Dairy Farm, Kundasang is now solved.

A predatory Bearzilla was spotted by @r…", the mysterious disappearance of cows in desa dairy farm  kundasang is now solved   a predatory bearzilla was spotted by   ,0.0,1.0,positive,0.0,0.89,0.11,0.2732
44,"RT @beardropsmy: The mysterious disappearance of cows in Desa Dairy Farm, Kundasang is now solved.

A predatory Bearzilla was spotted by @r…", the mysterious disappearance of cows in desa dairy farm  kundasang is now solved   a predatory bearzilla was spotted by   ,0.0,1.0,positive,0.0,0.89,0.11,0.2732
45,RT @Lunar2822: Will you join me and sign this petition? An investigation by @animal_equality has revealed extreme violence and neglect of c…, will you join me and sign this petition  an investigation by   equality has revealed extreme violence and neglect of c ,-0.125,1.0,negative,0.281,0.632,0.087,-0.7096
46,"Dairy Tip for the week..

Want to know more about Dairy Geyser? call us @0872362397

Visit us:… https://t.co/6MF99QWEBx",dairy tip for the week    want to know more about dairy geyser  call us    visit us    ,0.5,0.5,positive,0.0,0.92,0.08,0.0772
47,"RT @animaljusticeAU: Animal Justice Party is the only political party that stands up for ALL animals.
Whether its goats on a dairy farm, co…", animal justice party is the only political party that stands up for all animals  whether its goats on a dairy farm  co ,0.0,0.55,positive,0.0,0.672,0.328,0.8316
48,@simranag2 Nice dairy farm,  nice dairy farm,0.6,1.0,positive,0.0,0.417,0.583,0.4215
49,"RT @animaljusticeAU: Animal Justice Party is the only political party that stands up for ALL animals.
Whether its goats on a dairy farm, co…", animal justice party is the only political party that stands up for all animals  whether its goats on a dairy farm  co ,0.0,0.55,positive,0.0,0.672,0.328,0.8316
50,I’ve just seen @Animal_Equality’s investigation revealing shocking cruelty to cows on a UK dairy farm. Join me and… https://t.co/TYEcUor80m,i ve just seen   equality s investigation revealing shocking cruelty to cows on a uk dairy farm  join me and   ,-1.0,1.0,negative,0.289,0.614,0.096,-0.6597
51,"RT @EppleMedia: Blue Dog #news @30millionsdamis 
'Around 20 dogs were abandoned in a disused dairy farm! The poor animals lived among sharp…", blue dog  news     around 20 dogs were abandoned in a disused dairy farm  the poor animals lived among sharp ,-0.17500000000000002,0.48333333333333334,negative,0.276,0.724,0.0,-0.7269
52,"RT @PETAUK: Mothers have their babies stolen from them every day on dairy farm 😢 #MothersDay
https://t.co/0TL8lS8liK", mothers have their babies stolen from them every day on dairy farm    mothersday  ,0.0,0.0,negative,0.211,0.789,0.0,-0.4939
53,Will you join me and sign this petition? An investigation by @animal_equality has revealed extreme violence and neg… https://t.co/QAa4vnHDFj,will you join me and sign this petition  an investigation by   equality has revealed extreme violence and neg   ,-0.125,1.0,negative,0.184,0.717,0.099,-0.4404
54,We’re proud to be a part of this rebuild at Adieu Farm. The new facility looks great. Wishing you great success!… https://t.co/PgSYMH1KXY,we re proud to be a part of this rebuild at adieu farm  the new facility looks great  wishing you great success    ,0.5672727272727272,0.5909090909090909,positive,0.0,0.486,0.514,0.9509
55,"RT @enockk256: Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2. The level…", factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2  the level ,0.0,0.0,positive,0.0,0.888,0.112,0.34
56,RT @HermanWaita: @Saint_hacker @alykhansatchu @mariahsudi @nderi_j @IEAKwame @amerix A friend &amp; neighbour - Wapani Wamai (+254722681829) an…,   hacker       j     a friend  amp  neighbour   wapani wamai   254722681829  an ,0.0,0.0,positive,0.0,0.686,0.314,0.4939
57,RT @arc_csg: We had a chance to catch up with some of our partners at this year's Dairy-Tech. Here's what Graeme Francis from @NetafimUk  h…, we had a chance to catch up with some of our partners at this year s dairy tech  here s what graeme francis from    h ,0.0,0.0,positive,0.0,0.909,0.091,0.25
58,"RT @enockk256: Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2. The level…", factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2  the level ,0.0,0.0,positive,0.0,0.888,0.112,0.34
59,Here's a #ThrowbackThursday to a delivery on a nearby dairy farm a few years back — there's nothing we love more th… https://t.co/3mnunuon0M,here s a  throwbackthursday to a delivery on a nearby dairy farm a few years back   there s nothing we love more th   ,0.2,0.3,negative,0.174,0.826,0.0,-0.5216
60,@UnfilteredWMD @BosmerArcher5 @JonScoff @Caroona_ @NerdyKeith @theveganting The point you are making is to use that… https://t.co/SHuDqR4Jnc,             the point you are making is to use that   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
61,(...) that a seat in Congress or the state legislature was more sought than real estate or industrial skill; that t… https://t.co/qzGIehcRaP,      that a seat in congress or the state legislature was more sought than real estate or industrial skill  that t   ,0.35,0.4,neutral,0.0,1.0,0.0,0.0
62,"RT @enockk256: Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2. The level…", factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2  the level ,0.0,0.0,positive,0.0,0.888,0.112,0.34
63,"RT @enockk256: Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2. The level…", factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2  the level ,0.0,0.0,positive,0.0,0.888,0.112,0.34
64,"RT @HalleKaitesi: Sixteen months after demonstrating bottle irrigation, President Museveni returned to his Kawumu farm in Luwero District…", sixteen months after demonstrating bottle irrigation  president museveni returned to his kawumu farm in luwero district ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
65,@Creeturous I started the farm orders over a decade ago. I would get dairy &amp; shelf items from the grocery store to… https://t.co/7Bhp1uUPTI,  i started the farm orders over a decade ago  i would get dairy  amp  shelf items from the grocery store to   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
66,"@MetroUK I live next to a dairy farm, the cows seem to be out less and less , I really don’t think they’ll use thes… https://t.co/BomQ7bjOGp",  i live next to a dairy farm  the cows seem to be out less and less   i really don t think they ll use thes   ,0.00060606060606061,0.16666666666666666,neutral,0.0,1.0,0.0,0.0
67,RT @basf_pest_UK: Calling all farmers! Share your experience of rat activity on your farm and we'll send you a FREE Selontra beanie hat for…, calling all farmers  share your experience of rat activity on your farm and we ll send you a free selontra beanie hat for ,0.4,0.8,positive,0.0,0.784,0.216,0.6705
68,"Starting a three-day swing through farm country in Lancaster County, PA, Adam Ortiz spent a bone-chilling spring mo… https://t.co/rihnwAtSfI",starting a three day swing through farm country in lancaster county  pa  adam ortiz spent a bone chilling spring mo   ,-0.19999999999999998,0.3666666666666667,negative,0.061,0.939,0.0,-0.0258
69,"RT @enockk256: Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2. The level…", factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2  the level ,0.0,0.0,positive,0.0,0.888,0.112,0.34
70,"RT @DJPericoNC: 💥‼️SE PRENDIÓ EL CERRO‼️💥

🗓Domingo 05 De Junio📆

🇲🇽Primer Jaripeo Estilo San Luis Potosí🇲🇽

🤠🐴RANCHO EL PATRÓN 🤠🐴

📍1128 A…",    se prendi  el cerro      domingo 05 de junio     primer jaripeo estilo san luis potos       rancho el patr n      1128 a ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
71,An opportunity has arisen for a General Farm worker on our busy family dairy farm near Annan Dumfriesshire… https://t.co/lvUNY8HsQn,an opportunity has arisen for a general farm worker on our busy family dairy farm near annan dumfriesshire   ,0.08333333333333333,0.4000000000000001,positive,0.0,0.851,0.149,0.4215
72,@MrKRudd By the way… where did you get that confected posh accent?  No dairy farm labourer’s son ever spoke like th… https://t.co/j1lQShRSdh,  by the way  where did you get that confected posh accent   no dairy farm labourer s son ever spoke like th   ,0.0,0.0,positive,0.097,0.793,0.11,0.0772
73,"@ManasBedant @SaakshiSRawat She has family business of farming products,dairy products,sports showroom in ranchi on… https://t.co/QcpLLvyHGk",    she has family business of farming products dairy products sports showroom in ranchi on   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
74,"💥‼️SE PRENDIÓ EL CERRO‼️💥

🗓Domingo 05 De Junio📆

🇲🇽Primer Jaripeo Estilo San Luis Potosí🇲🇽

🤠🐴RANCHO EL PATRÓN 🤠🐴… https://t.co/B5nDxxVSWD",   se prendi  el cerro      domingo 05 de junio     primer jaripeo estilo san luis potos       rancho el patr n      ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
75,"Serial polluter and recipient of $1.5 million in taxpayer funded subsidies sues over:

""Farm operators say the moni… https://t.co/jbNbz2ZBrE",serial polluter and recipient of  1 5 million in taxpayer funded subsidies sues over    farm operators say the moni   ,0.0,0.0,negative,0.149,0.851,0.0,-0.4215
76,"Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2.… https://t.co/rMDjyoo0wl",factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2    ,0.0,0.0,positive,0.0,0.876,0.124,0.34
77,"""We promise coffee, tea and dairy farmers that we will create a ready market for their produce, reduce the cost of… https://t.co/ahUQUg8Zck", we promise coffee  tea and dairy farmers that we will create a ready market for their produce  reduce the cost of   ,0.2,0.5,positive,0.0,0.711,0.289,0.7096
78,@irenemo42776013 @colimac1 Farms definitely rule not one bad memory of my younger days when i could help my uncle o… https://t.co/OOJqaRB5YK,    farms definitely rule not one bad memory of my younger days when i could help my uncle o   ,-0.23333333333333328,0.38888888888888884,positive,0.0,0.612,0.388,0.8047
79,"RT @HalleKaitesi: Sixteen months after demonstrating bottle irrigation, President Museveni returned to his Kawumu farm in Luwero District…", sixteen months after demonstrating bottle irrigation  president museveni returned to his kawumu farm in luwero district ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
80,RT @TasteFrance_EN: France is developing new ways to combat #ClimateChange. One of its initiatives is the Low Carbon Dairy Farms with the g…, france is developing new ways to combat  climatechange  one of its initiatives is the low carbon dairy farms with the g ,0.06818181818181818,0.37727272727272726,negative,0.2,0.8,0.0,-0.5423
81,Kewaunee County dairy farm sues state over wastewater permit changes https://t.co/LQGfPIBEAf,kewaunee county dairy farm sues state over wastewater permit changes  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
82,"RT @dairylanesystem: Bloemen Open House Silver Sponsor, @SylviteAg and their representative Tom Shackleton, have been assisting the Bloemen…", bloemen open house silver sponsor    and their representative tom shackleton  have been assisting the bloemen ,0.0,0.5,neutral,0.0,1.0,0.0,0.0
83,"RT @HalleKaitesi: Sixteen months after demonstrating bottle irrigation, President Museveni returned to his Kawumu farm in Luwero District…", sixteen months after demonstrating bottle irrigation  president museveni returned to his kawumu farm in luwero district ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
84,"@omgaliciacho She said positioning of any minor breakouts I have indicates it's more hormonal than anything, so it'… https://t.co/3NOsg524b3",  she said positioning of any minor breakouts i have indicates it s more hormonal than anything  so it    ,0.225,0.35,neutral,0.0,1.0,0.0,0.0
85,"RT @HalleKaitesi: Sixteen months after demonstrating bottle irrigation, President Museveni returned to his Kawumu farm in Luwero District…", sixteen months after demonstrating bottle irrigation  president museveni returned to his kawumu farm in luwero district ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
86,@UnfilteredWMD @JonScoff @Caroona_ @NerdyKeith @theveganting WHO? WHO can get ethically sourced dairy? A few dozen… https://t.co/vFe2Csh1dy,           who  who can get ethically sourced dairy  a few dozen   ,0.0,0.35,neutral,0.0,1.0,0.0,0.0
87,Calling all farmers! Share your experience of rat activity on your farm and we'll send you a FREE Selontra beanie h… https://t.co/VaAP91UQ3h,calling all farmers  share your experience of rat activity on your farm and we ll send you a free selontra beanie h   ,0.4,0.8,positive,0.0,0.766,0.234,0.6705
88,@JoCresswell4 @BAUSurology @tsoburol @BSoT_UK @IPearce82 Never being much of a city type I stayed on a dairy farm t… https://t.co/CwnIBflNn5,        uk   never being much of a city type i stayed on a dairy farm t   ,0.2,0.2,neutral,0.0,1.0,0.0,0.0
89,"RT @HalleKaitesi: Sixteen months after demonstrating bottle irrigation, President Museveni returned to his Kawumu farm in Luwero District…", sixteen months after demonstrating bottle irrigation  president museveni returned to his kawumu farm in luwero district ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
90,I’ve just seen @Animal_Equality’s investigation revealing shocking cruelty to cows on a UK dairy farm. Join me and… https://t.co/p8cWnKKItZ,i ve just seen   equality s investigation revealing shocking cruelty to cows on a uk dairy farm  join me and   ,-1.0,1.0,negative,0.289,0.614,0.096,-0.6597
91,"We are creating your favourite recipe with the ‘Milk Full Of Love❤️’
Don’t miss this chance, comment below now!… https://t.co/W3nFbxRTxl",we are creating your favourite recipe with the  milk full of love    don t miss this chance  comment below now    ,0.425,0.575,positive,0.063,0.594,0.343,0.7935
92,A venture in Michigan aimed at turning dairy and cattle farm manure into natural gas for vehicle use is one step cl… https://t.co/1gfMS3tGqx,a venture in michigan aimed at turning dairy and cattle farm manure into natural gas for vehicle use is one step cl   ,0.1,0.4,positive,0.0,0.889,0.111,0.3612
93,So excited! Local farm offering awesome meat boxes again! So sustainable! Lower House Dairy at Suckley ❤️ https://t.co/vDnds17aVV,so excited  local farm offering awesome meat boxes again  so sustainable  lower house dairy at suckley     ,0.4583333333333333,0.5833333333333334,positive,0.111,0.584,0.305,0.6502
94,RT @PeterWilsonTmba: @LalitaMathias Would @TamePunk be reduced to tears as I told my story of growing up on a dairy farm where we had to wa…,   would   be reduced to tears as i told my story of growing up on a dairy farm where we had to wa ,0.0,0.0,negative,0.088,0.833,0.079,-0.0516
95,"RT @HalleKaitesi: Sixteen months after demonstrating bottle irrigation, President Museveni returned to his Kawumu farm in Luwero District…", sixteen months after demonstrating bottle irrigation  president museveni returned to his kawumu farm in luwero district ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
96,Will you join me and sign this petition? An investigation by @animal_equality has revealed extreme violence and neg… https://t.co/rfrpbIT9PR,will you join me and sign this petition  an investigation by   equality has revealed extreme violence and neg   ,-0.125,1.0,negative,0.184,0.717,0.099,-0.4404
97,"This week we #probe the Cow Fiddler of Cherry Creek. That’s right, we’re visiting a 1965 New York dairy farm. There… https://t.co/IzK4qzg0It",this week we  probe the cow fiddler of cherry creek  that s right  we re visiting a 1965 new york dairy farm  there   ,0.09624819624819625,0.3856421356421356,neutral,0.0,1.0,0.0,0.0
98,RT @Doreen_andersx: Managing lameness - topic for station 2 today ⁦@SRUC⁩ Crichton Farm Dairy Roadshow with ⁦@SaraPedersen3⁩ and Colin Maso…, managing lameness   topic for station 2 today     crichton farm dairy roadshow with     and colin maso ,0.0,0.0,negative,0.122,0.878,0.0,-0.2023
99,France is developing new ways to combat #ClimateChange. One of its initiatives is the Low Carbon Dairy Farms with t… https://t.co/Zi1SG2A05Q,france is developing new ways to combat  climatechange  one of its initiatives is the low carbon dairy farms with t   ,0.06818181818181818,0.37727272727272726,negative,0.209,0.791,0.0,-0.5423
100,RT @TasInAg: Join us on Zoom to find out more about the Graduate Diploma in Agribusiness: Masterclass in Horticultural Business and the Mas…, join us on zoom to find out more about the graduate diploma in agribusiness  masterclass in horticultural business and the mas ,0.5,0.5,positive,0.0,0.901,0.099,0.296
101,RT @Doreen_andersx: Managing lameness - topic for station 2 today ⁦@SRUC⁩ Crichton Farm Dairy Roadshow with ⁦@SaraPedersen3⁩ and Colin Maso…, managing lameness   topic for station 2 today     crichton farm dairy roadshow with     and colin maso ,0.0,0.0,negative,0.122,0.878,0.0,-0.2023
102,"RT @HalleKaitesi: Sixteen months after demonstrating bottle irrigation, President Museveni returned to his Kawumu farm in Luwero District…", sixteen months after demonstrating bottle irrigation  president museveni returned to his kawumu farm in luwero district ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
103,"RT @beardropsmy: The mysterious disappearance of cows in Desa Dairy Farm, Kundasang is now solved.

A predatory Bearzilla was spotted by @r…", the mysterious disappearance of cows in desa dairy farm  kundasang is now solved   a predatory bearzilla was spotted by   ,0.0,1.0,positive,0.0,0.89,0.11,0.2732
104,"RT @HalleKaitesi: Sixteen months after demonstrating bottle irrigation, President Museveni returned to his Kawumu farm in Luwero District…", sixteen months after demonstrating bottle irrigation  president museveni returned to his kawumu farm in luwero district ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
105,Fascinating insights into the use of technology &amp; innovation on an organic #dairy farm in Co. Galway featured in… https://t.co/0YzI076Jcy,fascinating insights into the use of technology  amp  innovation on an organic  dairy farm in co  galway featured in   ,0.7,0.8500000000000001,positive,0.0,0.736,0.264,0.7269
106,@RMConservative I have never seen so much bullshit in one place (and I grew up on a dairy farm) shame on you sir! T… https://t.co/jgCEEL06dQ,  i have never seen so much bullshit in one place  and i grew up on a dairy farm  shame on you sir  t   ,0.2,0.2,negative,0.297,0.703,0.0,-0.8008
